u,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25
u1,Sat,,Sat,,Tue,,Sat,,,Sat,,Wed,,Sat,,,Sat,,Tue,,,Sat,,,Sat
u2,,Tue,Sat,,,,,,Mon,,,Tue,,,Tue,,,,,,,,,,
u3,Wed,mon,Thu,,Sat,,Wed,,,Fri,,Sat,,Mon,,,Tue,,Mon,,,Fri,,,Sun
u4,Tue,,Mon,,Sat,,Sat,Sat,,Mon,,Mon,,Fri,,,Fri,,Sat,,,Wed,,,Tue
u5,Thu,Tue,Sun,,Sat,,Mon,,,Thu,,Wed,,Thu,,,Thu,,Fri,,,Thu,,,Thu
u6,,,,,,,,,Tue,,,,Sat,,,,,,,,,,,,
u7,Fri,,Mon,,,Sat,,,,,Sat,,,,Sat,,,,,,,,,,
u8,Sat,,,,Mon,,Sat,,,Sat,,Fri,,Sat,,,Sat,,Thu,,,Sat,,,Sat
u9,,Mon,,,Tue,,,Sat,,,,,Mon,,,,,Mon,,,,,,,
u10,,Tue,,Thu,,,,,,Sat,,,,,Mon,,,,,,Tue,,,,
u11,,,Sat,,,,,,,Sat,,,,Sat,,Tue,,,Mon,,,,,Sat,
u12,,,,Mon,,Sat,,,,,,Sat,,,,,,,,,Sat,,,Tue,
u13,,,,,Wed,,,,,,,,,,Sat,,,,,,Mon,,,,
u14,Sat,Sat,Sat,,,,,Tue,,Sat,,,,Sat,,,Sat,,,,,Sat,,,Sat
u15,,Mon,,,,Tue,,,,,Sat,,Fri,,,,,Sun,,,,,,,
u16,,,Sat,,,,,,,Sat,,,,Sat,,Tue,,,Mon,,,,,Sat,
u17,,Mon,,,Mon,,,,Sat,,,Thu,,,,Mon,,Tue,,,Tue,,Mon,,
u18,,,Sat,,,,,,,Sat,,,,Sat,,Tue,,,Mon,,,,,Sat,
u19,,,,Sat,,,,,,,Mon,,Sat,,,,,Sat,,,,,,,
u20,,,,,,,,,Wed,,,,,,,Sat,,,,,,,,,
u21,Sat,Sat,Sat,,Thu,,Sat,,,Sat,,Sun,,Sat,,,Sat,,Wed,,,Sat,,,Sat
u22,,Tue,,,,Fri,,,,,,,Mon,,Sat,,,,,,,,,,
u23,,,,,,,,,,,,Sat,,,,,,,,,,,,Mon,
u24,,Sat,,Fri,,,,Sat,,Wed,,,Sat,,Mon,Mon,,Tue,,Sat,Mon,Wed,Sat,,
u25,,,,,Sat,,,,Fri,,,,,,,,,,,,,,,,
u26,,,,,,Mon,,,,,Tue,,,,,Sat,,,,,Fri,,,,
u27,Sat,Sat,Sat,,,,Sat,,,Sat,,,,Sat,,,Sat,,,,,Sat,,,Sat
